Thời gian;Đơn đặt;Đơn thành công;Bán lẻ;Bán sỉ;VAT;BHMR;Phí trả hàng;Doanh số;Chiết khấu;Tiêu điểm;Doanh thu;Doanh thu dự kiến;Doanh thu + VAT;Giá vốn;Lợi nhuận
02/06/2026;;;13798000;;;;;13798000;399000;;13399000;13399000;13399000;;13399000
03/06/2026;;;3699000;;;;;3699000;;;3699000;3699000;3699000;;3699000
05/06/2026;;;14679000;;;;;14679000;1687900;;12991100;12991100;12991100;;12991100
