ID;Mã nhà cung cấp;Tên nhà cung cấp;Địa chỉ;Loại;Điện thoại;Email;Ngân hàng;Chi nhánh;Số tài khoản;Chủ tài khoản;Người tạo;Ghi chú;Trạng thái
1284;;ladystars;;Cá nhân;;;;;;;LÊ SỸ BÁCH;;Đang giao dịch
1283;;Tồn đầu;;Cá nhân;0987654321;;;;;;LÊ SỸ BÁCH;;Đang giao dịch
